nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
1010,0.09666669999999999,90.33329999999999,90.24460000000001,186.504,13.5673,3.81334,-1,100,4,7,3,-1,1,0,-1,-1,58,56.7069,10,63.3333,62.7364,10
2020,0.0611111,93.88890000000001,93.70189999999999,330.748,18.1422,7.58375,-1,100,4,7,3,-1,1,0,-1,-1,59.3333,57.9623,20,63.3333,62.7364,10
3030,0.0488889,95.11109999999999,95.1313,379.24,19.3883,10.0013,-1,100,4,7,3,-1,1,0,-1,-1,61,60.3681,30,63.3333,62.7364,10
4040,0.0377778,96.2222,96.22329999999999,473.856,21.7257,13.5168,-1,100,4,7,3,-1,1,0,-1,-1,61,60.3692,40,63.3333,62.7364,10
5050,0.0355556,96.4444,96.4354,541.302,23.1647,16.6773,-1,100,4,7,3,-1,1,0,-1,-1,62,61.1453,50,63.3333,62.7364,10
6059,0.0311111,96.88890000000001,96.821,552.623,23.4564,19.322,-1,100,4,7,3,-1,1,0,-1,-1,62.3333,61.9531,60,63.3333,62.7364,10
7069,0.0244444,97.5556,97.45350000000001,657.947,25.3695,23.7508,-1,100,4,7,3,-1,1,0,-1,-1,63.3333,63.3997,70,63.3333,62.7364,10
8079,0.0222222,97.7778,97.7346,520.147,22.4541,24.2792,-1,100,4,7,3,-1,1,0,-1,-1,62.6667,62.6506,80,63.3333,62.7364,10
9089,0.0166667,98.33329999999999,98.28749999999999,516.145,22.6064,27.1513,-1,100,4,7,3,-1,1,0,-1,-1,64.33329999999999,64.4742,90,63.3333,62.7364,10
10099,0.0155556,98.4444,98.4436,460.344,21.3037,29.333,-1,100,4,7,3,-1,1,0,-1,-1,64.66670000000001,64.6623,100,63.3333,62.7364,10
